Vernier Format 2,
187_a3.txt 7/28/119 3:10:43,
Run 1,
Wavelength,Intensity
W,I
nm,rel
,
409.3,0.016
410.1,0.016
411,0.016
411.8,0.016
412.7,0.016
413.5,0.017
414.3,0.017
415.2,0.017
416,0.017
416.9,0.017
417.7,0.017
418.6,0.018
419.4,0.018
420.3,0.018
421.1,0.018
422,0.018
422.8,0.018
423.7,0.018
424.5,0.018
425.4,0.017
426.2,0.017
427,0.017
427.9,0.018
428.7,0.019
429.6,0.019
430.4,0.018
431.3,0.019
432.1,0.019
433,0.02
433.8,0.019
434.7,0.02
435.5,0.02
436.4,0.02
437.2,0.02
438.1,0.02
438.9,0.019
439.7,0.019
440.6,0.019
441.4,0.019
442.3,0.019
443.1,0.019
444,0.019
444.8,0.019
445.7,0.02
446.5,0.019
447.4,0.019
448.2,0.02
449.1,0.019
449.9,0.019
450.7,0.019
451.6,0.019
452.4,0.018
453.3,0.019
454.1,0.019
455,0.019
455.8,0.019
456.7,0.018
457.5,0.018
458.4,0.018
459.2,0.018
460.1,0.018
460.9,0.018
461.8,0.019
462.6,0.018
463.4,0.018
464.3,0.017
465.1,0.018
466,0.018
466.8,0.018
467.7,0.017
468.5,0.018
469.4,0.018
470.2,0.018
471.1,0.018
471.9,0.018
472.8,0.017
473.6,0.017
474.5,0.017
475.3,0.018
476.1,0.017
477,0.018
477.8,0.017
478.7,0.018
479.5,0.017
480.4,0.017
481.2,0.017
482.1,0.018
482.9,0.018
483.8,0.018
484.6,0.018
485.5,0.018
486.3,0.018
487.2,0.018
488,0.019
488.8,0.019
489.7,0.019
490.5,0.02
491.4,0.02
492.2,0.02
493.1,0.02
493.9,0.02
494.8,0.019
495.6,0.02
496.5,0.021
497.3,0.021
498.2,0.021
499,0.02
499.9,0.021
500.7,0.022
501.5,0.022
502.4,0.023
503.2,0.023
504.1,0.023
504.9,0.023
505.8,0.023
506.6,0.024
507.5,0.024
508.3,0.024
509.2,0.025
510,0.025
510.9,0.025
511.7,0.025
512.5,0.025
513.3,0.026
514.1,0.026
514.9,0.026
515.7,0.025
516.5,0.025
517.3,0.025
518,0.025
518.8,0.026
519.6,0.026
520.4,0.026
521.2,0.026
522,0.026
522.8,0.026
523.6,0.026
524.3,0.026
525.1,0.026
525.9,0.026
526.7,0.026
527.5,0.026
528.3,0.026
529.1,0.026
529.9,0.025
530.6,0.025
531.4,0.025
532.2,0.025
533,0.025
533.8,0.026
534.6,0.026
535.4,0.026
536.2,0.026
536.9,0.026
537.7,0.026
538.5,0.026
539.3,0.026
540.1,0.026
540.9,0.026
541.7,0.026
542.5,0.025
543.2,0.025
544,0.025
544.8,0.025
545.6,0.025
546.4,0.025
547.2,0.025
548,0.026
548.8,0.025
549.5,0.025
550.3,0.025
551.1,0.026
551.9,0.026
552.7,0.025
553.5,0.025
554.3,0.025
555.1,0.026
555.8,0.026
556.6,0.025
557.4,0.025
558.2,0.025
559,0.025
559.8,0.024
560.6,0.023
561.4,0.023
562.1,0.023
562.9,0.024
563.7,0.024
564.5,0.023
565.3,0.023
566.1,0.023
566.9,0.023
567.7,0.023
568.4,0.023
569.2,0.023
570,0.022
570.8,0.022
571.6,0.022
572.4,0.023
573.2,0.023
574,0.023
574.7,0.023
575.5,0.022
576.3,0.022
577.1,0.022
577.9,0.022
578.7,0.022
579.5,0.022
580.3,0.022
581,0.022
581.8,0.022
582.6,0.022
583.4,0.022
584.2,0.022
585,0.021
585.8,0.021
586.6,0.022
587.3,0.022
588.1,0.022
588.9,0.022
589.6,0.023
590.4,0.022
591.1,0.022
591.9,0.022
592.6,0.023
593.4,0.023
594.1,0.022
594.9,0.022
595.6,0.022
596.3,0.022
597.1,0.022
597.8,0.021
598.6,0.022
599.3,0.022
600.1,0.022
600.8,0.022
601.6,0.022
602.3,0.022
603.1,0.022
603.8,0.022
604.6,0.022
605.3,0.022
606.1,0.022
606.8,0.022
607.6,0.022
608.3,0.021
609.1,0.022
609.8,0.021
610.6,0.021
611.3,0.022
612,0.022
612.8,0.021
613.5,0.021
614.3,0.021
615,0.021
615.8,0.021
616.5,0.021
617.3,0.021
618,0.021
618.8,0.02
619.5,0.02
620.3,0.019
621,0.019
621.8,0.02
622.5,0.021
623.3,0.021
624,0.021
624.8,0.02
625.5,0.02
626.3,0.019
627,0.02
627.7,0.02
628.5,0.02
629.2,0.02
630,0.02
630.7,0.019
631.5,0.019
632.2,0.019
633,0.019
633.7,0.018
634.5,0.019
635.2,0.02
636,0.02
636.7,0.019
637.5,0.019
638.2,0.019
639,0.019
639.7,0.019
640.5,0.019
641.2,0.019
642,0.019
642.7,0.019
643.4,0.019
644.2,0.019
644.9,0.019
645.7,0.019
646.4,0.019
647.2,0.019
647.9,0.019
648.7,0.019
649.4,0.019
650.2,0.019
650.9,0.019
651.7,0.019
652.4,0.019
653.2,0.019
653.9,0.02
654.7,0.02
655.4,0.019
656.2,0.019
656.9,0.018
657.7,0.018
658.4,0.018
659.1,0.018
659.9,0.018
660.6,0.018
661.4,0.019
662.1,0.019
662.9,0.019
663.6,0.018
664.4,0.018
665.1,0.018
665.9,0.018
666.6,0.018
667.4,0.018
668.1,0.018
668.9,0.018
669.7,0.018
670.4,0.017
671.2,0.017
672,0.017
672.7,0.017
673.5,0.017
674.2,0.018
675,0.018
675.8,0.018
676.5,0.018
677.3,0.018
678.1,0.017
678.8,0.017
679.6,0.017
680.4,0.017
681.1,0.017
681.9,0.017
682.7,0.017
683.4,0.017
684.2,0.018
685,0.018
685.7,0.017
686.5,0.017
687.2,0.016
688,0.017
688.8,0.017
689.5,0.018
690.3,0.018
691.1,0.018
691.8,0.017
692.6,0.016
693.4,0.016
694.1,0.016
694.9,0.016
695.7,0.016
696.4,0.016
697.2,0.016
698,0.017
698.7,0.016
699.5,0.015
700.2,0.016
701,0.016
701.8,0.016
702.5,0.016
703.3,0.016
704.1,0.016
704.8,0.016
705.6,0.016
706.4,0.016
707.2,0.016
708,0.016
708.8,0.016
709.6,0.016
710.4,0.016
711.2,0.016
712.1,0.016
712.9,0.016
713.7,0.016
714.5,0.016
715.3,0.016
716.2,0.016
717,0.016
717.8,0.016
718.6,0.016
719.4,0.015
720.3,0.016
721.1,0.016
721.9,0.017
722.7,0.017
723.5,0.017
724.4,0.016
725.2,0.016
726,0.016
726.8,0.016
727.6,0.016
728.5,0.016
729.3,0.016
730.1,0.015
730.9,0.016
731.7,0.016
732.6,0.016
733.4,0.016
734.2,0.016
735,0.016
735.8,0.016
736.7,0.016
737.5,0.016
738.3,0.016
739.1,0.016
739.9,0.016
740.8,0.016
741.6,0.016
742.4,0.017
743.2,0.017
744,0.017
744.9,0.016
745.7,0.016
746.5,0.016
